Phrase,Neighbours
synchronous optical networking,"autonomic networking, unified networking concept, delay-tolerant networking, active networking, traditional computer networking, active networking relates, tolerant networking, networking paradigms primarily based upon, active networking allows, tolerant networking algorithms"
syntactic operations cannot access word,"word processors, program status word, word length, using operations, actual word classification, entangling operations, first access, every word, operations analogous, several set operations"
syntactic transformations,"commonly used affine transformations, linear transformations, writing bidirectional model transformations, lorentz transformations prior"
synthetic consciousness,"artificial consciousness, artificial consciousness concepts, machine consciousness, synthetic division, regular synthetic division"
synthetic division,"regular synthetic division, euclidean division, slow division, synthetic consciousness"
system components,"system represented, different components, system resources, system must exhibit, system whose resources, based system, new system, common components, system level analysis, level system design"
system level analysis,"level system design, system components, based system, system resources, system performance, system represented, system whose resources, information system, system usability scale, data analysis"
system matrix,"matrix containing, matrix structures, given matrix, matrix analysis, matrix operations, square matrix, original matrix, matrix algorithms, square matrix used, matrix decomposition"
system migration,"system migration involves moving, system resources, new system, system whose resources, system represented, based system, system tries, system components, system must exhibit, software system"
system migration involves moving,"system migration, system resources, dynamical system, system whose resources, new system, system represented, system tries, based system, system components, physical system"
system must exhibit,"system represented, system components, system whose resources, system resources, based system, information system, new system, level system design, physical system, system level analysis"
system of linear equations,"linear equations, linear equations involving, linear system, linear equations behave differently, certain linear system, solve ordinary differential equations, normal equations, differential equations, inverse system, matrix equations"
system performance,"software performance analysis, improve performance, performance analyzer, actual performance, application performance management, desired performance, specified typical performance, provide high performance, system resources, compare performance"
system represented,"system components, based system, system must exhibit, system whose resources, information system, value system, system resources, underlying type system, discrete system defined, system level analysis"
system resources,"system whose resources, information system, computing resources, system components, software system, resources needed, based system, system represented, system performance, system must exhibit"
system tries,"new system, system performance, system whose resources, based system, system resources, system components, software system, mitigate system failures, system represented, reasoning system"
system usability scale,"system performance, level system design, system resources, system components, based system, system level analysis, software system, system whose resources, system must exhibit, information system"
system whose resources,"system resources, system components, system must exhibit, information system, system represented, software system, computing resources, based system, system level analysis, system tries"
systematic formal theory,"formal theory, formal approach, formal systems used, formal specification, basic theory, formal language theory, theory used, formal specifications, formal description, formal logic"
systematically enumerating,systematically identify
systematically identify,"quickly identify, automatically identify useful rules, identify defects, identify regions, identify compounds, systematically enumerating, identify abnormalities"
systematics application,"broadly applicable across application domains, important application known, closely related application, one application aspect, distributed application, modern application, application design, commercial application, application delivery mechanisms, software application"
systemic functional linguistics,computational linguistics
systems architecture,"systems architecture makes use, systems design, systems engineering, computer architecture, systems architecture depends heavily, systems used, based systems, computer systems, design systems, systems design could"
systems architecture depends heavily,"systems architecture makes use, systems architecture, computer architecture, hardware architecture devoted, systems design, systems design could, computer network architecture, network architecture, functional architecture, systems engineering"
systems architecture makes use,"systems architecture, systems architecture depends heavily, computer architecture, systems design, systems used, purpose operating systems, systems design could, systems engineering, design systems, based systems"
systems assume,"systems theory, based systems, two systems, artificial systems, formal systems used, systems used, similar systems, formalized systems investigated, systems may still, multidimensional systems"
systems biology computations performed,"computational systems, living organisms perform computations, computation performed, systems theory, systems engineering, artificial systems, systems used, systems towards solving computational problems, systems architecture, based systems"
systems design,"design systems, systems design could, systems architecture, systems engineering, systems used, developing systems, systems architecture makes use, design principles, software design, based systems"
systems design could,"systems design, design systems, systems architecture, systems used, developing systems, systems engineering, systems architecture makes use, design principles, based systems, systems theory"
systems engineering,"systems design, systems architecture, engineering approach, systems used, design systems, developing systems, systems design could, systems architecture makes use, based systems, artificial systems"
systems may still,"systems used, systems design could, similar systems, systems theory, based systems, systems assume, two systems, developing systems, systems design, formal systems used"
systems theory,"mathematical systems theory, two systems, systems used, similar systems, systems assume, dynamical systems theory, based systems, systems design, formal systems used, artificial systems"
systems towards solving computational problems,"computational systems, computational problems, computational system, problem solving, solving optimization problems, solving optimization problems suggested, solving technique, two computational problems, solve numerical problems, solve various problems"
systems used,"based systems, similar systems, systems design, systems architecture, two systems, computer systems, systems architecture makes use, systems theory, formal systems used, systems engineering"
table structure,"entire table, mathematical table used, lookup table, dynamic table, database table, data structure, truth table, certain structure, underlying structure, hash table"
tabulating machines,"possible machines, made machines, computation distributed among several machines, make machines, intelligent machines, state machines, robust argumentation machines, abstract machines, support-vector machines, abstract state machines"
take advantage,"take full advantage, advantage made possible, primary advantage, main advantage, take control, take hold, might take, instruction take action contingent, spectral methods take"
take control,"taking control, control theory, control moving, desired control task, control system based, adaptive control, take hold, access control, independent call control, take advantage"
take full advantage,"take advantage, primary advantage, main advantage, take hold, take control, might take, instruction take action contingent, full implementation, full development, full title"
take hold,"must hold, take control, take advantage, take full advantage, might take, instruction take action contingent, spectral methods take"
takes actions autonomously,"takes precedence, takes input, constraint programming takes, order function twice takes, takes two matrices, takes significantly less space"
takes input,"given input, user input, example input, input data, deliver input values, input items, entire input available, without input, desired input, input number"
takes precedence,"takes actions autonomously, order function twice takes, constraint programming takes, takes input, takes significantly less space, takes two matrices"
takes significantly less space,"significantly less space, free space, space available, problem space, storage space, additional storage much less, memory space, sample space, dimensional space, underlying space"
takes two matrices,"two matrices w, three matrices, element matrices, two commuting density matrices, two normalized density matrices, complex hermitian matrices, large sparse matrices, square cipher uses two 5x5 matrices, jacobi method for complex hermitian matrices, two methods"
taking control,"take control, control theory, control moving, desired control task, control system based, access control, bearer-independent call control, independent call control, stochastic control aims, model predictive control"
tapered floating point,"tapered floating point system, tapered floating point representation, binary floating point, term floating point refers, representing floating, varying sizes  floating, octal floating point  base four, decimal point, hexadecimal floating point  base eight, normal floating"
tapered floating point representation,"tapered floating point, tapered floating point system, binary floating point, representing floating, octal floating point  base four, decimal point, refined representation, finite representation, based representation, compact representation"
tapered floating point system,"tapered floating point, tapered floating point representation, binary floating point, decimal point, circular review system, graphics system, level system design, 1 computer graphics system, based memory management system, computational system"
target code technique,"target function, target value, target nodes, code development, object code, object code optimizer, managed code, oriented code, code reuse, computer programming technique used"
target function,"target value, target code technique, target nodes, basic function, objective function, important function, known function, one objective function, see characteristic function, linear objective function"
target nodes,"various nodes, existing nodes based, nodes compete, nodes form, directly connect nodes, like nodes used, child nodes, target function, target value, target code technique"
target value,"target function, target code technique, target nodes, primary value, value system, value associated, single value, desired value, current value, another value"
targets simulators,like shifting targets
tasks based,"handling tasks based, perform tasks, type tasks, implement computing tasks, complete tasks, level tasks, designs tasks, intensive tasks, machine learning tasks, recognition tasks"
tasks like outliers detection,"recognition tasks, feature detection, classification tasks, independent classification tasks, handling tasks based, type tasks, tasks based, human presence detection, human presence detection technologies, including plagiarism detection"
taxonomic databases,"many statistical databases, relational databases, statistical databases, classical statistical databases, current databases, temporal databases, statistical databases often incorporate support"
taylor et al,"brooks et al, bellet et al, van den nest et al"
teaching across arts,"applications across, teaching computational statistics, broadly applicable across application domains, printers across nodes, move things across, confidence across multiple businesses, generate reasonable predictions across"
teaching computational statistics,"computational statistics, though computational statistics, computational resources, computational intelligence, computational mathematics, computational resources needed, computational learning theory, computational resource, applying computational techniques, use computational results"
tech mining,"technology mining, defined tech mining, technology mining refers, technology mining area illustrates, structure mining, fp mining, data mining, text mining tools, frequent itemset mining, text mining"
tech togs,"tech mining, defined tech mining, streetwear tech"
technical debt,"technical issues, technical report, technical documents, technical innovations, technical standard originally developed, technical designs, enforce technical standards, object recognition  technical report icg"
technical designs,"designs tasks, technical documents, technical innovations, technical issues, designs stakeholders, technical report, technical standard originally developed, interaction designs, enforce technical standards, technical debt"
technical documents,"technical report, two documents, technical issues, technical designs, technical innovations, technical standard originally developed, enforce technical standards, technical debt, documents using typed views, object recognition  technical report icg"
technical innovations,"major innovations, technical issues, technical designs, technical report, technical documents, technical standard originally developed, enforce technical standards, technical debt, object recognition  technical report icg"
technical issues,"technical report, technical documents, technical innovations, technical designs, enforce technical standards, technical debt, avoiding problematic issues, issues led"
technical report,"technical issues, technical documents, technical innovations, technical designs, technical standard originally developed, enforce technical standards, pdf  seminar report, technical debt, object recognition  technical report icg, radiology report  determining speaker characteristics"
technical schools often study,"modern study, programs often perform, mathematical computability theorists study, scientific study, often employed, often incorporated, researchers study multi, mathematical study, often applied, often used"
technical standard originally developed,"open standard developed, originally developed, technical innovations, technical documents, technical designs, technical report, subsequently developed, originally introduced, first developed, developed later"
technically incorrect,incorrect answer
technique known,"technique used, technique leads, broadly applicable technique, rigorous technique, based technique, structured technique, efficient methods known, solving technique, topsig technique extends, machine learning technique used"
technique leads,"technique known, technique used, rigorous technique, based technique, structured technique, broadly applicable technique, solving technique, topsig technique extends, algorithm design technique, machine learning technique used"
technique used,"techniques used, technique known, rigorous technique, broadly applicable technique, based technique, structured technique, technique leads, method used, solving technique, occasionally used"
techniques used,"technique used, applying certain formal techniques, method used, two classical techniques, applying computational techniques, tool used, process used, often used, also used, frequently used"
technological innovation processes,"processes might, microevolutionary processes, thinking processes, organizations thoroughly analyze processes, two random processes, enable processes, natural neuronal processes, therapeutic processes, gaussian processes, schedule processes"
technology database,"database systems, technology information, information technology, special database 3, special database 1, database model, large database, specially constructed database structures, database table, temporal database"
technology information,"information technology, information technology methods, digital information, information science, technology perspective, information system, technology database, underlying technology, technology intelligence branches, modern technology"
technology intelligence branches,"intelligence analysis, technology information, information technology, artificial intelligence research dedicated, artificial intelligence laboratory, artificial intelligence, computational intelligence, artificial intelligence concerned, information technology methods, use artificial intelligence"
technology mining,"tech mining, technology mining refers, technology mining area illustrates, defined tech mining, structure mining, fp mining, data mining, frequent itemset mining, text mining tools, text mining"
technology mining area illustrates,"technology mining, technology mining refers, tech mining, defined tech mining, structure mining, fp mining, frequent itemset mining, data mining, text mining tools, applying text mining methods"
technology mining refers,"technology mining, defined tech mining, tech mining, technology mining area illustrates, structure mining, fp mining, data mining, frequent itemset mining, text mining tools, applying text mining methods"
technology perspective,"underlying technology, technology information, modern technology, information technology, information technology methods, strategic technology planning, technology intelligence branches, technology roadmapping, argument technology faced, fashion technology"
technology roadmapping,"technology perspective, technology information, technology intelligence branches, underlying technology, information technology, modern technology, information technology methods, technology database, technology mining, technology mining refers"
technometrics papers ridge regressions,"ridge regressions, ridge regression, ridge regression estimator, ridge functions, statistical papers, papers presented, published papers"
telecommunications network,"communications network, computer network, digital network, network employs, network protocol, network architecture, network built, network browsing, usa network, internal network"
telephone number,"set number, telephone systems, limited number, input number, small number, real number, fixed number, telephone speech, number generation, condition number"
telephone records,"generated records, telephone speech, min records, counts max records, audit trail records"
telephone speech,"human speech, speech production, speech community, speech signals, speech processing, speech frames, speech tagging, speech recognition, speech processing applications, speech detection"
telephone systems,"digital communication systems, systems used, telephone number, computer systems, telephone speech, similar systems, based systems, embedded systems, systems architecture, two systems"
temperature phase,"single temperature, phase transition, phase distinction, water phase diagram, phase space formulation, phase diagram, phase boundaries, determining whether phase distinction, phase diagrams, phase distinction marks"
template method pattern,"factory method pattern, pattern language, document pattern, mvc design pattern, design pattern, abstract document pattern allows, Singleton pattern, singleton pattern, method call, pattern calculus"
temporal coding,"temporal coding allows, temporal coding supplies, temporal sequence, temporal patterning, temporal database, temporal databases, temporal coupling, coding theory, range coding, adaptive huffman coding"
temporal coding allows,"temporal coding, temporal coding supplies, temporal patterning, temporal sequence, temporal database, temporal databases, temporal coupling, coding theory, adaptive huffman coding, range coding"
temporal coding supplies,"temporal coding, temporal coding allows, temporal sequence, temporal databases, temporal patterning, temporal database, coding theory, temporal coupling, range coding, including software coding standards"
temporal coupling,"sequential coupling, temporal sequence, temporal patterning, temporal coding, temporal coding allows, temporal databases, temporal database, temporal coding supplies"
temporal database,"temporal databases, temporal sequence, temporal coding, temporal coding allows, database model, database systems, relational database, relational database theory, temporal coding supplies, relational database models"
temporal databases,"temporal database, temporal sequence, current databases, relational databases, temporal coding, temporal coding allows, temporal coding supplies, statistical databases, classical statistical databases, temporal patterning"
temporal patterning,"temporal sequence, temporal coding, temporal coding allows, temporal coupling, temporal coding supplies, temporal databases, temporal database"
temporal sequence,"temporal patterning, temporal coding, temporal databases, temporal database, temporal coupling, temporal coding allows, particular sequence, temporal coding supplies, sequence data, likely corresponding sequence"
temporarily associating,
tensor product,"product equivalent, product development, new product, unscrambler x product formulation, new product development, altered product, final product, product manager susan wojcicki, hadamard product"
term avoided,"term used, term given, term may refer, changing one term, direct term, older term, term delay, marketing term, term memory, symmetric term"
term bit slicing,"bit slicing, bit slicing made, bit manipulation, bit manipulations, bit manipulation makes use, bit manipulation operations, bit sequences, bit bashing, bit string, require bit manipulation include low"
term complex data type,"complex data type, data type defines, data types related, data type, data type provides, rational data type, primitive data types, special type, data structure, data type constrains"
term compressed data structure arises,"compressed data structure depends upon, compressed data structure, compressed data structures include, compressed data, data compression, data structure, data structures, almost lossless data compression, structured data, arbitrary data structures"
term computational logic came,"computational logic, computational logic 1, mathematical logic, logic programming, classical logic, formal logic, logic program, logic programming language, quantificational logic, relevant logic"
term data model,"data model, data modeling defines, data modeling, data model may specify, data base model, physical data model, data analysis, logical data model, database model, model context"
term delay,"time delay neural network, time term, time delay neural network give, dependent synaptic delay modifications, term avoided, term memory, term floating point refers, older term, direct term, term given"
term dynamical characteristics,"dynamical system, dynamical systems theory, various topological dynamical systems, direct term, term data model, traditional empathic characteristics, term complex data type, term compressed data structure arises, marketing term, term may refer"
term floating point refers,"binary floating point, representing floating, tapered floating point, decimal point, normal floating, point exists, point formats, logical point, term memory, point distribution model concept"
term given,"term used, direct term, term may refer, older term, changing one term, term avoided, marketing term, answer given, time term, term memory"
term may refer,"may refer, may also refer specifically, term used, term given, direct term, sometimes exclusively refer, may indicate, may seem, marketing term, one may use"
term memory,"sometimes called memory, memory used, memory management, memory management within, internal memory, physical memory, memory space, memory location, either manual memory management, automatic memory management"
term nc,"term given, direct term, term used, older term, term may refer, marketing term, changing one term, term avoided, term memory, term rank scale"
term rank scale,"rank scale, balance scale, term data model, term complex data type, term given, scale integration circuits, term dynamical characteristics, scale integrated circuits, marketing term, term used"
term used,"term given, term may refer, commonly used, often used synonymously, older term, direct term, traditionally used, term avoided, typically used, often used"
terminal node,"terminal objects, root node, outer node, node given, external node, single node, Node Link, node link, node contains, node defines"
terminal objects,"terminal node, visual objects, two objects, portable distributed objects, objects designed, data objects, objects appear, interacting objects, mathematical objects, describe objects"
terminology diffeomorphometry,new terminology
terms density matrix,"density matrix, joint density matrix, density regions, matrix structures, density operator, matrix analysis, square matrix, matrix containing, kernel density estimation, square matrix used"
terms mean,"alternative terms, two largely synonymous terms, mean something different, three key terms, called mean shift, rational terms, mean dimension, constructing lambda terms, mean shift, allows mean dimension"
terrestrial networks,"ambient networks, networks performing, directed networks, connectionist networks, progressive networks, ambient networks comes, router networks, heterogeneous networks, sensor networks, bayesian networks"
test bits,"random bits, algorithmically manipulating bits, status flag bits, turing test proposed, scatter bits, minimum intelligent signal test"
tested number n,"condition number, small number, real number, n log n comparisons, given two integers n, limited number, number generation, finite number, set number, input number"
tests use,"tests whether, probabilistic tests, called compositeness tests instead, many popular primality tests, practical use, common use, finds use among, also use, primality tests prove, primality tests"
tests whether,"tests use, checking whether, detecting whether, verifying whether, indicates whether, probabilistic tests, stating whether, primality tests prove, called compositeness tests instead, many popular primality tests"
text analysis,"text processing, given text, text mining, text mining tools, enough text, text retrieval, arbitrary text, program text, structured analysis, natural language text"
text mining,"text mining tools, applying text mining methods, data mining, message facilitates structure mining, text analysis, defined tech mining, tech mining, text processing, technology mining, frequent itemset mining"
text mining tools,"text mining, applying text mining methods, data mining, defined tech mining, frequent itemset mining, tech mining, technology mining, structured data mining, text analysis, technology mining refers"
text processing,"text analysis, given text, program text, text mining, processing executing, text retrieval, natural language processing, enough text, text mining tools, speech processing"
text retrieval,"efficient retrieval, information retrieval, data retrieval operations, text processing, text analysis, given text, nearly constant time per retrieval, streaming text, program text, individual speaker reads text"
text searching using boolean operators,"boolean operators, boolean functions, boolean algebra, boolean function, boolean logic, boolean function whose value, given boolean formula, implemented boolean algebra, represent boolean functions, also implement boolean logic"
textual data,"structured data, spoken  simple data entry, often abbreviated data viz, associated data, input data, data items, communicate data, usable data, digital data, provide data"
th entry,
thathachar introduced,"originally introduced, first introduced, errors introduced thereby, error introduced, recurrent neural networks introduced, fifo arithmetic code first introduced"
the unfinished revolution,unfinished revolution
theft deterrent,discourage theft
theorem  computer science,"theoretical computer science, computer science, computer science intended, theorem may also, computer science fields, within computer science, general theorem, theorem concerns logical formulas, computer science context, classical computer"
theorem concerns logical formulas,"theorem may also, general theorem, theorem  computer science, logical objects, also include propositional formulas, logical expressions, logical point, cut theorem, cut theorem refers, cut theorem follows"
theorem may also,"theorem proving, general theorem, theorem concerns logical formulas, theorem  computer science, cut theorem, cut theorem refers, uniqueness theorem, cut theorem follows, propositional logic may, lambda calculus may"
theorem proving,"automated theorem proving, theorem may also, general theorem, cut theorem, proving completeness, cut theorem follows, polynomial remainder theorem, cut theorem refers, uniqueness theorem, shannon sampling theorem"
theoretic method,"theoretic objects, theoretic minimum, markowitz method, method used, alternative method, method first proposed, popular method, implicit euler method, jacobi method, original method"
theoretic minimum,"theoretic method, theoretic objects, global minimum, local minimum, minimum capacity, minimum degree algorithm, minimum stable convergence criteria, minimum information required, minimum k-cut, minimum cut"
theoretic objects,"theoretic method, theoretic minimum, mathematical objects, although objects, describe objects, finite objects, two objects, visual objects, objects designed, immutable objects"
theoretical computer science,"computer science, computer science fields, computer science intended, within computer science, computer science context, classical computer, computer science field focus, theorem  computer science, introductory computer science classes, computer science originated"
theoretical immunology,"purely theoretical entities, theoretical physicists, expected theoretical behavior, theoretical upper bound, theoretical point, theoretical computer science, theoretical physics 35, theoretical interest, theoretical speedup"
theoretical interest,"great interest, interest grew, theoretical point, expected theoretical behavior, purely theoretical entities, theoretical physicists, theoretical upper bound, theoretical physics 35, interest rate derivative portfolios, theoretical computer science"
theoretical physicists,"theoretical physics 35, theoretical point, theoretical computer science, theoretical upper bound, purely theoretical entities, theoretical speedup, theoretical interest, expected theoretical behavior, theoretical immunology"
theoretical physics 35,"classical physics, theoretical physicists, computational physics, statistical physics applications, quantum physics, energy physics, theoretical point, theoretical speedup, theoretical upper bound, theoretical computer science"
theoretical point,"classical point, theoretical upper bound, theoretical physicists, theoretical physics 35, certain point, theoretical interest, expected theoretical behavior, purely theoretical entities, theoretical speedup, theoretical computer science"
theoretical speedup,"theoretical physics 35, theoretical computer science, theoretical physicists, theoretical point, expected theoretical behavior, theoretical upper bound, purely theoretical entities, theoretical interest, theoretical immunology"
theoretical upper bound,"upper bound, theoretical point, expected theoretical behavior, theoretical physicists, theoretical physics 35, purely theoretical entities, theoretical interest, theoretical speedup, theoretical computer science, fixed error bound"
theoretically turing complete,"turing complete, turing machine, turing test proposed, probabilistic turing machines, probabilistic turing machine, neural turing machines, traditional complete problems, complete tasks, order complete, complete overview"
theories  synthese,"different theories, algebraic theories, cognitive theories, dimensional theories"
theory formed,"theory used, basic theory, formal theory, quantum information theory began, systems theory, mathematical systems theory, learning theory, quantum theory often express, automata theory emerged, systematic formal theory"
theory used,"basic theory, formal theory, theory formed, theory using evidence, systematic formal theory, systems theory, mathematical systems theory, learning theory, category theory, information theory"
theory using evidence,"creating evidence, reach evidence, theory used, evidence toolkit, formal theory, basic theory, systematic formal theory, information theory, learning theory, theory formed"
therapeutic processes,"natural neuronal processes, processes might, enable processes, organizations thoroughly analyze processes, thinking processes, microevolutionary processes, technological innovation processes, schedule processes, gaussian processes"
thereby reducing overall development time,"full development, development methodology, enable development, integrated development environments, reducing access time, product development, new product development, given time, time generated, time term"
therefore crucial,"therefore rule, therefore produces, therefore infinite, computational intelligence therefore provides solutions"
therefore generally considered,"commonly considered, currently considered, generally categorized, initially considered, generally designed, usually considered part, generally attributed, considered simultaneously, considered feasible, considered forms"
therefore infinite,"whether infinite, infinite sets may, infinite set, infinite length, infinite pools, infinite discrete state space, infinite topological entropy, infinite impulse response, therefore rule, therefore produces"
therefore need analog,"analog sources, analog signal, analyzes analog input values, analog converters, analog recording, analog image processing, stretch analog, analog filters, analog converter, narrowband analog"
therefore produces,"always produces, therefore rule, therefore crucial, energy problem produces, therefore infinite, computational intelligence therefore provides solutions, program produces prog, dithering produces results, gaussian elimination produces, based clustering produces complex models"
therefore rule,"rule  applies, traditional rule, rule set, rule rather, concise rule, business rule processing, therefore crucial, therefore produces, classical backpropagation rule, therefore infinite"
therefore two ripple,"two solutions, two objects, separates two, two photons together, two analogous mechanisms, two parts, two things, two examples, similar two strings, two mechanisms"
therefore undecidable,"undecidable problems, uncountably many undecidable problems"
thermodynamic principles,"determine macroscopic thermodynamic properties, main principles, fundamental principles, five principles, core principles, uses normalizing principles, design principles, swarm principles"
thesis states,"phd thesis, two graph states, graph states, various topologically ordered states, mental states, study affective states, quantum graph states, two states, perfect conducting edge states, degenerate ground states"
thinking processes,"thinking used, processes might, business processes within, organizations thoroughly analyze processes, enable processes, regressive processes, schedule processes, natural neuronal processes, gaussian processes, technological innovation processes"
thinking used,"thinking processes, memory used, used instead, used feedback, apparently first used, occasionally used, used often, activities used, later used, theory used"
third normal form,"sixth normal form, meet third normal form would, meet third normal form standards, defined sixth normal form, normal form used, conjunctive normal form, another form, normal operation, general form, single form"
third sum,"sum signals, discrete mathematics theory  third, third normal form, meet third normal form would, meet third normal form standards, trusted third parties"
thomas algorithm,"algorithm using, algorithm used, particular algorithm, algorithm theory, different algorithm, first algorithm, sequential algorithm, seeking algorithm, algorithm repeatedly, online algorithm"
thomas cover,"llewellyn thomas, researcher thomas r, thomas algorithm, cover many system executions"
though computational statistics,"computational statistics, teaching computational statistics, descriptive statistics, computational models, computational resources, computational resource, computational methods, use computational results, statistics community, computational power"
though streaming algorithms,"data streaming algorithms, streaming data, streaming division, proprietary streaming format, streaming text, online algorithms, various algorithms, algorithms like, several algorithms, search algorithms"
three categories,"three different categories, following three, build three types, three factors, three key terms, three matrices, three objectives, three parts, three unique points, find three clusters within"
three different categories,"three categories, several different types, different types, build three types, three factors, different classes, different forms, following three, different topics, three key terms"
three factors,"many factors, examine factors, following three, external factors, three different categories, three categories, three objectives, constant factors, generally give prime factors, three key terms"
three ingredients,"three parts, following three, three factors, build three types, three matrices, three objectives, three key terms, three different categories, three categories, find three clusters within"
three key terms,"following three, three parts, three categories, three objectives, terms mean, three different categories, three factors, alternative terms, three unique points, two largely synonymous terms"
three matrices,"takes two matrices, two matrices w, element matrices, complex hermitian matrices, following three, two commuting density matrices, large sparse matrices, three categories, two normalized density matrices, find three clusters within"
three objectives,"conflicting objectives, following three, three factors, three key terms, three categories, three unique points, three parts, three matrices, three different categories, build three types"
three parts,"two parts, separate parts, following three, three ingredients, component parts, constituent parts, build three types, three key terms, natural parts, three categories"
three unique points,"various points, triple points, following three, three objectives, different code points, three key terms, code points, quaternary floating point  base three, three categories, three factors"
throughout mathematics,"applied mathematics, mathematics higher, continuous mathematics, mathematics focused, computational mathematics, discrete mathematics, pure mathematics devoted primarily, discrete mathematics theory  third, found use throughout, propagated throughout"
thus apt,"thus insertion sort, thus writing, thus run faster, thus increasing, thus trees"
thus increasing,"increasing one, increasing number, value commonly monotonically increasing, rapidly increasing data sets, boundlessly increasing tree height, increasing legal risks involved, thus run faster, thus writing, thus trees, thus insertion sort"
thus insertion sort,"insertion sort, comparison sort, different sort, digital sort, comparison sort must, parallel sort, sort keys, called bucket sort, hybrid merge sort, radix sort"
thus run faster,"runs faster, made faster, run time, switch much faster, run time bounds checking, run inside, run arbitrary programs, hardware lets companies run, algorithms run online, thus increasing"
thus trees,"spanning trees, join trees, path trees, binary trees, decision trees, search trees, binary trees formed, avl trees, balanced trees t1, extended binary trees"
thus writing,"less writing, writing efficient programs, thus trees, writing bidirectional model transformations, thus increasing, thus insertion sort, thus run faster, thus apt"
ticket checker,"ticket controller, cheapest airline ticket"
ticket controller,"ticket checker, cheapest airline ticket, much modern controller design, programmable logic controller, remote touch controller, controller provides reaction force"
tier erp software,"erp software, erp software suppliers manage, two erp systems, lightweight software, software implementations, software requirements analysis, software solution, defining software solutions, software performance analysis, software engineering body"
tightly connected,"closely connected, fully connected layers, connected components, blocks connected, chemically connected, vertices connected, switches connected, links connected, connected wireless device, root r connected"
tim draelos,
time algorithm,"polynomial time algorithm, computation time, time algorithm specialization, time analysis, quasilinear time algorithms, time genetic algorithms within, time systems, automatically analyzing time, algorithm used, algorithm using"
time algorithm specialization,"run-time algorithm specialization, time algorithm, time genetic algorithms within, particular algorithm, algorithm theory, sequential algorithm, computation time, different algorithm, polynomial time algorithm, min-conflicts algorithm"
time analysis,"time systems, time term, time variables, time algorithm, automatically analyzing time, time generated, time averages, time frame 20102020, investigated time period, computation time"
time averages,"time analysis, time algorithm, time systems, time term, time variables, time generated, automatically analyzing time, computation time, time frame 20102020, linearithmic time"
time compilers,"time systems, computation time, time algorithm, time variables, time generated, time analysis, programming language compilers, time term, time genetic algorithms within, time delays"
time complexity,"complexity theory, full complexity, computational complexity, computational complexity theory, computational complexity theory tries, computational complexity theory focuses, algorithmic complexity theory, parameterized complexity, complexity class p, counting complexity classes"
time delay neural network,"time delay neural network give, time recurrent neural networks, discrete time recurrent neural networks, time delays, continuous-time recurrent neural networks, neural network, time systems, neural networks, recurrent neural network, time generated"
time delay neural network give,"time delay neural network, time recurrent neural networks, discrete time recurrent neural networks, time delays, continuous-time recurrent neural networks, neural network, time systems, time generated, neural networks, recurrent neural network"
time delays,"time systems, time delay neural network, time generated, time delay neural network give, time errors, time analysis, given time, running time, computation time, time term"
time errors,"time delays, time systems, time generated, time analysis, time variables, time algorithm, time frame 20102020, time term, time compilers, errors introduced thereby"
time frame 20102020,"time systems, time term, time analysis, time variables, time generated, linearithmic time, time algorithm, time averages, computation time, time errors"
time generated,"time systems, time term, time analysis, given time, time variables, computation time, time algorithm, time delays, time frame 20102020, time compilers"
time genetic algorithms within,"genetic algorithms, time algorithm, evolutionary algorithms, evolutionary algorithms applied, many evolutionary algorithms, 1996  evolutionary algorithms, time algorithm specialization, possible algorithms, sequential algorithms, computation time"
time markov process,"continuous-time Markov process, markov algorithms, computation time, markov chain, markov assumption, time algorithm, time systems, markov chains, time variables, markov shift"
time path,"time systems, time analysis, time term, time variables, time algorithm, time compilers, time generated, running time, automatically analyzing time, given time"
time recurrent neural networks,"discrete time recurrent neural networks, continuous-time recurrent neural networks, recurrent neural networks, recurrent neural network, fully recurrent neural networks, recurrent neural networks introduced, time delay neural network, time delay neural network give, recurrent neural nets, neural network"
