phrase,sentances
cognitive complexity,"In an attempt to explain how humans perceive relevance, cognitive complexity is defined as an extension of the notion of Kolmogorov complexity. !! Cognitive complexity describes cognition along a simplicity-complexity axis. !! Cognitive complexity is a psychological characteristic or psychological variable that indicates how complex or simple is the frame and perceptual skill of a person. !! A person who is measured high on cognitive complexity tends to perceive nuances and subtle differences which a person with a lower measure, indicating a less complex cognitive structure for the task or activity, does not. !! Cognitive complexity is related to probability (see Simplicity theory): situations are cognitively improbable if they are simpler to describe than to generate."
squarified treemap layout algorithm,"Hypermedia exploration with interactive dynamic maps Paper by Zizi and Beaudouin-Lafon introducing the squarified treemap layout algorithm (named ""improved treemap layout"" at the time)."
information visualization,"The field of information visualization has emerged ""from research in humancomputer interaction, computer science, graphics, visual design, psychology, and business methods. !! Information visualization focused on the creation of approaches for conveying abstract information in intuitive ways. !! Information visualization presumes that ""visual representations and interaction techniques take advantage of the human eyes broad bandwidth pathway into the mind to allow users to see, explore, and understand large amounts of information at once. !! Information visualization (or visualisation) is the study of visual representations of abstract data to reinforce human cognition. !! One definition is that it's information visualization when the spatial representation (e. g. , the page layout of a graphic design) is chosen, whereas it's scientific visualization when the spatial representation is given."
visual representations,"Information visualization (or visualisation) is the study of visual representations of abstract data to reinforce human cognition. !! Information visualization presumes that ""visual representations and interaction techniques take advantage of the human eyes broad bandwidth pathway into the mind to allow users to see, explore, and understand large amounts of information at once."
thread pool,"The size of a thread pool is the number of threads kept in reserve for executing tasks. !! Deciding the optimal thread pool size is crucial to optimize performance. !! Often also called a replicated workers or worker-crew model, a thread pool maintains multiple threads waiting for tasks to be allocated for concurrent execution by the supervising program. !! In computer programming, a thread pool is a software design pattern for achieving concurrency of execution in a computer program. !! One benefit of a thread pool over creating a new thread for each task is that thread creation and destruction overhead is restricted to the initial creation of the pool, which may result in better performance and better system stability."
web technologies,"The pervasive use of mobile devices, sensors and web technologies can offer adequate computational resources to manage the complexity implied by the multimodal interaction."
augmented cognition,"In 1962 Douglas C. Engelbart released the report ""Augmenting Human Intellect: A Conceptual Framework"" which introduced, and laid the groundwork for, augmented cognition. !! Augmented cognition research generally focuses on tasks and environments where humancomputer interaction and interfaces already exist. !! Augmented cognition is an interdisciplinary area of psychology and engineering, attracting researchers from the more traditional fields of human-computer interaction, psychology, ergonomics and neuroscience. !! Advances in cognitive, behavioral, and neurological sciences during the 1990s set the stage for the emerging field of augmented cognition this period has been termed the ""Decade of the Brain. "" !! ""Modern augmented cognition began to emerge in the early 2000s."
dependence analysis,"Dependence analysis determines whether it is safe to reorder or parallelize statements. !! The problem of computing dependencies within loops, which is a significant and nontrivial problem, is tackled by loop dependence analysis, which extends the dependence framework given here. !! In compiler theory, dependence analysis produces execution-order constraints between statements/instructions."
dependence analysis produces execution,"In compiler theory, dependence analysis produces execution-order constraints between statements/instructions."
parallelize statements,Dependence analysis determines whether it is safe to reorder or parallelize statements.
loop dependence analysis,"The problem of computing dependencies within loops, which is a significant and nontrivial problem, is tackled by loop dependence analysis, which extends the dependence framework given here."
topology optimization,"Topology optimization is a mathematical method that optimizes material layout within a given design space, for a given set of loads, boundary conditions and constraints with the goal of maximizing the performance of the system. !! Currently, engineers mostly use topology optimization at the concept level of a design process. !! The conventional topology optimization formulation uses a finite element method (FEM) to evaluate the design performance. !! Topology optimization is different from shape optimization and sizing optimization in the sense that the design can attain any shape within the design space, instead of dealing with predefined configurations. !! Topology optimization has a wide range of applications in aerospace, mechanical, bio-chemical and civil engineering."
runtime analysis,"In the field of runtime analysis of algorithms, it is common to specify a computational model in terms of primitive operations allowed which have unit cost, or simply unit-cost operations."
computational model,"In the field of runtime analysis of algorithms, it is common to specify a computational model in terms of primitive operations allowed which have unit cost, or simply unit-cost operations. !! An agent-based model (ABM) is a computational model for simulating the actions and interactions of autonomous agents (both individual or collective entities such as organizations or groups) in order to understand the behavior of a system and what governs its outcomes."
probability measures,"Where statistical distance measures relate to the differences between random variables, these may have statistical dependence, and hence these distances are not directly related to measures of distances between probability measures."
statistical dependence,"Where statistical distance measures relate to the differences between random variables, these may have statistical dependence, and hence these distances are not directly related to measures of distances between probability measures."
statistical distance measures,"Statistical distance measures are not typically metrics, and they need not be symmetric."
statistical distances,Statistical distances that satisfy (1) and (2) are referred to as divergences.
artificial recurrent neural network,Long short-term memory (LSTM) is an artificial recurrent neural network (RNN) architecture used in the field of deep learning.
long short-term memory,"""Long Short-Term Memory in Recurrent Neural Networks"" (PDF). !! Long short-term memory (LSTM) is an artificial recurrent neural network (RNN) architecture used in the field of deep learning. !! Their study describes a novel neural network that performs better on certain data sets than the widely used long short-term memory neural network. !! 5 billion automatic translations every day using long short-term memory networks."
graphical user interfaces,"Gesture recognition can be seen as a way for computers to begin to understand human body language, thus building a richer bridge between machines and humans than primitive text user interfaces or even GUIs (graphical user interfaces), which still limit the majority of input to keyboard and mouse and interact naturally without any mechanical devices. !! On modern operating systems with graphical user interfaces, error messages are often displayed using dialog boxes."
computer hardware device,"Error messages are seen widely throughout computing, and are part of every operating system or computer hardware device."
alignment-free sequence analysis,"In bioinformatics, alignment-free sequence analysis approaches to molecular sequence and structure data provide alternatives over alignment-based approaches. !! Information Theory has provided successful methods for alignment-free sequence analysis and comparison."
free sequence analysis,Information Theory has provided successful methods for alignment-free sequence analysis and comparison.
embedded software requirements,Embedded Software Requirements.
weighted voronoi diagram,"In a multiplicatively weighted Voronoi diagram, the distance between a point and a site is divided by the (positive) weight of the site. !! In the plane under the ordinary Euclidean distance, the multiplicatively weighted Voronoi diagram is also called circular Dirichlet tessellation and its edges are circular arcs and straight line segments."
distance function,"The Voronoi cells in a weighted Voronoi diagram are defined in terms of a distance function. !! The appropriate clustering algorithm and parameter settings (including parameters such as the distance function to use, a density threshold or the number of expected clusters) depend on the individual data set and intended use of the results."
distance computation,"In weighted Voronoi diagrams, each site has a weight that influences the distance computation."
weighted voronoi diagrams,"In weighted Voronoi diagrams, each site has a weight that influences the distance computation."
straight line segments,"In the plane under the ordinary Euclidean distance, the multiplicatively weighted Voronoi diagram is also called circular Dirichlet tessellation and its edges are circular arcs and straight line segments."
algebraic graph theory,"The order polynomial is a polynomial studied in mathematics, in particular in algebraic graph theory and algebraic combinatorics."
hybrid active learning,"Recent developments are dedicated to multi-label active learning, hybrid active learning and active learning in a single-pass (on-line) context, combining concepts from the field of machine learning (e. g. conflict and ignorance) with adaptive, incremental learning policies in the field of online machine learning."
active learning,"Recent developments are dedicated to multi-label active learning, hybrid active learning and active learning in a single-pass (on-line) context, combining concepts from the field of machine learning (e. g. conflict and ignorance) with adaptive, incremental learning policies in the field of online machine learning. !! In a report from the Association for the Study of Higher Education (ASHE), authors discuss a variety of methodologies for promoting active learning. !! There are a wide range of alternatives for the term active learning, such as: learning through play, technology-based learning, activity-based learning, group work, project method, etc. !! Active learning is ""a method of learning in which students are actively or experientially involved in the learning process and where there are different levels of active learning, depending on student involvement. "" !! Bonwell & Eison (1991) states that ""students participate [in active learning] when they are doing something besides passively listening. "" !! The common factors in these are some significant qualities and characteristics of active learning."
active learning in a single-pass (on-line) context,"Recent developments are dedicated to multi-label active learning, hybrid active learning and active learning in a single-pass (on-line) context, combining concepts from the field of machine learning (e. g. conflict and ignorance) with adaptive, incremental learning policies in the field of online machine learning."
incremental learning policies,"Recent developments are dedicated to multi-label active learning, hybrid active learning and active learning in a single-pass (on-line) context, combining concepts from the field of machine learning (e. g. conflict and ignorance) with adaptive, incremental learning policies in the field of online machine learning."
symbolic programming,"In computer programming, symbolic programming is a programming paradigm in which the program can manipulate its own formulas and program components as if they were plain data. !! Languages that support symbolic programming include homoiconic languages such as Wolfram Language, LISP and Prolog. !! Through symbolic programming, complex processes can be developed that build other more intricate processes by combining smaller units of logic or functionality."
agnostic boosting,"Adam Tauman Kalai, Yishay Mansour, and Elad Verbin, On agnostic boosting and parity learning, in Proceedings of the 40th annual ACM symposium on Theory of computing (Victoria, British Columbia, Canada: ACM, 2008), 629638, http://portal."
http  portal,"Adam Tauman Kalai, Yishay Mansour, and Elad Verbin, On agnostic boosting and parity learning, in Proceedings of the 40th annual ACM symposium on Theory of computing (Victoria, British Columbia, Canada: ACM, 2008), 629638, http://portal."
digital logic gate,The OR gate is a digital logic gate that implements logical disjunction () from mathematical logic it behaves according to the truth table above.
or gate,"There are two symbols of OR gates: the American (ANSI or 'military') symbol and the IEC ('European' or 'rectangular') symbol, as well as the deprecated DIN symbol. !! The OR gate is a digital logic gate that implements logical disjunction () from mathematical logic it behaves according to the truth table above. !! The standard 4000 series CMOS IC is the 4071, which includes four independent two-input OR gates. !! There are many offshoots of the original 7432 OR gate, all having the same pinout but different internal architecture, allowing them to operate in different voltage ranges and/or at higher speeds. !! OR gates are basic logic gates, and are available in TTL and CMOS ICs logic families."
basic logic gates,"OR gates are basic logic gates, and are available in TTL and CMOS ICs logic families."
differentiable neural computer,"In artificial intelligence, a differentiable neural computer (DNC) is a memory augmented neural network architecture (MANN), which is typically (not by definition) recurrent in its implementation."
memory augmented neural network architecture,"In artificial intelligence, a differentiable neural computer (DNC) is a memory augmented neural network architecture (MANN), which is typically (not by definition) recurrent in its implementation."
parallax mapping,Steep parallax mapping is one name for the class of algorithms that trace rays against heightfields. !! Parallax mapping described by Kaneko is a single step process that does not account for occlusion. !! Parallax mapping is implemented by displacing the texture coordinates at a point on the rendered polygon by a function of the view angle in tangent space (the angle relative to the surface normal) and the value of the height map at that point. !! Parallax mapping was introduced by Tomomichi Kaneko et al. !! Parallax mapping (also called offset mapping or virtual displacement mapping) is an enhancement of the bump mapping or normal mapping techniques applied to textures in 3D rendering applications such as video games.
virtual displacement mapping,Parallax mapping (also called offset mapping or virtual displacement mapping) is an enhancement of the bump mapping or normal mapping techniques applied to textures in 3D rendering applications such as video games.
tangent space,Parallax mapping is implemented by displacing the texture coordinates at a point on the rendered polygon by a function of the view angle in tangent space (the angle relative to the surface normal) and the value of the height map at that point.
texture coordinates,Parallax mapping is implemented by displacing the texture coordinates at a point on the rendered polygon by a function of the view angle in tangent space (the angle relative to the surface normal) and the value of the height map at that point.
chi-squared distribution,"The chi-squared distribution is used in the common chi-squared tests for goodness of fit of an observed distribution to a theoretical one, the independence of two criteria of classification of qualitative data, and in confidence interval estimation for a population standard deviation of a normal distribution from a sample standard deviation. !! In probability theory and statistics, the chi-squared distribution (also chi-square or 2-distribution) with k degrees of freedom is the distribution of a sum of the squares of k independent standard normal random variables. !! is distributed according to the chi-squared distribution with k degrees of freedom. !! The chi-squared distribution is a special case of the gamma distribution and is one of the most widely used probability distributions in inferential statistics, notably in hypothesis testing and in construction of confidence intervals. !! This distribution is sometimes called the central chi-squared distribution, a special case of the more general noncentral chi-squared distribution."
squared distribution,"The chi-squared distribution is used in the common chi-squared tests for goodness of fit of an observed distribution to a theoretical one, the independence of two criteria of classification of qualitative data, and in confidence interval estimation for a population standard deviation of a normal distribution from a sample standard deviation. !! The chi-squared distribution is a special case of the gamma distribution and is one of the most widely used probability distributions in inferential statistics, notably in hypothesis testing and in construction of confidence intervals. !! This distribution is sometimes called the central chi-squared distribution, a special case of the more general noncentral chi-squared distribution. !! is distributed according to the chi-squared distribution with k degrees of freedom. !! In probability theory and statistics, the chi-squared distribution (also chi-square or 2-distribution) with k degrees of freedom is the distribution of a sum of the squares of k independent standard normal random variables."
k independent standard normal random variables,"In probability theory and statistics, the chi-squared distribution (also chi-square or 2-distribution) with k degrees of freedom is the distribution of a sum of the squares of k independent standard normal random variables."
gamma distribution,"The chi-squared distribution is a special case of the gamma distribution and is one of the most widely used probability distributions in inferential statistics, notably in hypothesis testing and in construction of confidence intervals."
sorting problem,"In computer science, partial sorting is a relaxed variant of the sorting problem."
partial sorting,"A common practical example of partial sorting is computing the ""Top 100"" of some list. !! Total sorting is the problem of returning a list of items such that its elements all appear in order, while partial sorting is returning a list of the k smallest (or k largest) elements in order. !! In computer science, partial sorting is a relaxed variant of the sorting problem. !! More efficient than the aforementioned are specialized partial sorting algorithms based on mergesort and quicksort. !! A further relaxation requiring only a list of the k smallest elements, but without requiring that these be ordered, makes the problem equivalent to partition-based selection; the original partial sorting problem can be solved by such a selection algorithm to obtain an array where the first k elements are the k smallest, and sorting these, at a total cost of O(n + k log k) operations."
longest increasing subsequence problem,"The longest increasing subsequence problem is solvable in time O(n log n), where n denotes the length of the input sequence. !! The longest increasing subsequence problem is closely related to the longest common subsequence problem, which has a quadratic time dynamic programming solution: the longest increasing subsequence of a sequence S is the longest common subsequence of S and T, where T is the result of sorting S. However, for the special case in which the input is a permutation of the integers 1, 2, . !! In computer science, the longest increasing subsequence problem is to find a subsequence of a given sequence in which the subsequence's elements are in sorted order, lowest to highest, and in which the subsequence is as long as possible."
longest increasing subsequence,"The longest increasing subsequence problem is solvable in time O(n log n), where n denotes the length of the input sequence. !! Longest increasing subsequences are studied in the context of various disciplines related to mathematics, including algorithmics, random matrix theory, representation theory, and physics. !! In computer science, the longest increasing subsequence problem is to find a subsequence of a given sequence in which the subsequence's elements are in sorted order, lowest to highest, and in which the subsequence is as long as possible. !! Therefore, longest increasing subsequence algorithms can be used to solve the clique problem efficiently in permutation graphs. !! The longest increasing subsequence problem is closely related to the longest common subsequence problem, which has a quadratic time dynamic programming solution: the longest increasing subsequence of a sequence S is the longest common subsequence of S and T, where T is the result of sorting S. However, for the special case in which the input is a permutation of the integers 1, 2, ."
longest increasing subsequences,"Longest increasing subsequences are studied in the context of various disciplines related to mathematics, including algorithmics, random matrix theory, representation theory, and physics."
random matrix theory,"Longest increasing subsequences are studied in the context of various disciplines related to mathematics, including algorithmics, random matrix theory, representation theory, and physics."
longest increasing subsequence algorithms,"Therefore, longest increasing subsequence algorithms can be used to solve the clique problem efficiently in permutation graphs."
permutation graphs,"Therefore, longest increasing subsequence algorithms can be used to solve the clique problem efficiently in permutation graphs."
code signing,"The most common use of code signing is to provide security when deploying; in some programming languages, it can also be used to help prevent namespace conflicts. !! The efficacy of code signing as an authentication mechanism for software depends on the security of underpinning signing keys. !! Code signing is the process of digitally signing executables and scripts to confirm the software author and guarantee that the code has not been altered or corrupted since it was signed. !! Almost every code signing implementation will provide some sort of digital signature mechanism to verify the identity of the author or build system, and a checksum to verify that the object has not been modified. !! Code signing can provide several valuable features."
decision tree learning,"Decision tree learning or induction of decision trees is one of the predictive modelling approaches used in statistics, data mining and machine learning. !! Decision tree learning is a method commonly used in data mining."
rich representation language,"The Rich Representation Language, often abbreviated as RRL, is a computer animation language specifically designed to facilitate the interaction of two or more animated characters."
reciprocal rule,"In summary, both derivatives and logarithms have a product rule, a reciprocal rule, a quotient rule, and a power rule (compare the list of logarithmic identities); each pair of rules is related through the logarithmic derivative."
nlp  word embedding,"In natural language processing (NLP), word embedding is a term used for the representation of words for text analysis, typically in the form of a real-valued vector that encodes the meaning of the word such that the words that are closer in the vector space are expected to be similar in meaning."
feature learning techniques,Word embeddings can be obtained using a set of language modeling and feature learning techniques where words or phrases from the vocabulary are mapped to vectors of real numbers.
word embeddings,"In linguistics, word embeddings were discussed in the research area of distributional semantics. !! Word embeddings can be obtained using a set of language modeling and feature learning techniques where words or phrases from the vocabulary are mapped to vectors of real numbers."
artificial intuition,"Artificial intuition is theoretically (or otherwise) a sophisticated function of an artifice that is able to interpret data with depth and locate hidden factors functioning in Gestalt psychology, and that intuition in the artificial mind would, in the context described here, be a bottom-up process upon a macroscopic scale identifying something like the archetypal (see ). !! To create artificial intuition supposes the possibility of the re-creation of a higher functioning of the human mind, with capabilities such as what might be found in semantic memory and learning. !! Artificial intelligence in fiction often crosses the line to apparent artificial intuition, although it can't be shown if the intent of the fiction creator was to show a simulation of intuition or that real artificial intuition is part of the story's AI, because this depends on the internal structure of the programming of the AI, which is not usually shown in stories. !! Artificial intuition is a theoretical capacity of an artificial software to function similarly to human consciousness, specifically in the capacity of human consciousness known as intuition. !! Star trek, (written by Gene Roddenberry) Data is a humanoid who shows artificial intelligence, but it can't be shown he is showing artificial intuition, since his programming is not disclosed."
semantic memory,"To create artificial intuition supposes the possibility of the re-creation of a higher functioning of the human mind, with capabilities such as what might be found in semantic memory and learning."
monotone priority queue,A radix heap is a data structure for realizing the operations of a monotone priority queue.
individual lexical items,"Pattern Grammar is a model for describing the syntactic environments of individual lexical items, derived from studying their occurrences in authentic linguistic corpora."
lexical grammar,"Hunston, Susan; Francis, Gill, Pattern Grammar: A corpus-driven approach to the lexical grammar of English, John Benjamins, 2000."
pseudo-polynomial time,"In computational complexity theory, a pseudo-polynomial transformation is a function which maps instances of one strongly NP-complete problem into another and is computable in pseudo-polynomial time. !! It is, however, pseudo-polynomial time. !! An NP-complete problem with known pseudo-polynomial time algorithms is called weakly NP-complete. !! In general, the numeric value of the input is exponential in the input length, which is why a pseudo-polynomial time algorithm does not necessarily run in polynomial time with respect to the input length. !! An NP-complete problem is called strongly NP-complete if it is proven that it cannot be solved by a pseudo-polynomial time algorithm unless P = NP. !! In computational complexity theory, a numeric algorithm runs in pseudo-polynomial time if its running time is a polynomial in the numeric value of the input (the largest integer present in the input)but not necessarily in the length of the input (the number of bits required to represent it), which is the case for polynomial time algorithms."
polynomial time algorithms,"An NP-complete problem with known pseudo-polynomial time algorithms is called weakly NP-complete. !! In computational complexity theory, a numeric algorithm runs in pseudo-polynomial time if its running time is a polynomial in the numeric value of the input (the largest integer present in the input)but not necessarily in the length of the input (the number of bits required to represent it), which is the case for polynomial time algorithms."
cross-domain interoperability,"The capability of cross-domain interoperability is becoming increasingly important as business and government operations become more global and interdependent. !! Cross-domain interoperability enables synergy, extends product utility and enables users to be more effective and successful within their own domains and the combined effort. !! Cross-domain interoperability exists when organizations or systems from different domains interact in information exchange, services, and/or goods to achieve their own or common goals. !! Cross-domain interoperability is characterized by common understanding and agreements on both sides of a domain boundary that enable individual organizations to tailor or make their products, assets or services interoperable within the larger community. !! Another effort where cross-domain interoperability will be critical to overall success is implementation of the U. S. Affordable Care Act, in which federal and state governments, insurance companies and healthcare providers perform their individual functions using a variety of networks and divergent computer platforms an interoperable environment will enable participants in these different domains to effectively exchange information and perform their essential services, while protecting the privacy and rights of individual patients during the exchange."
memory buffers,"In C, the functions strcmp and memcmp perform a three-way comparison between strings and memory buffers, respectively."
genetic programming,"Subsequently, there was an enormous expansion of the number of publications with the Genetic Programming Bibliography, surpassing 10,000 entries. !! Koza followed this with 205 publications on Genetic Programming (GP), name coined by David Goldberg, also a PhD student of John Holland. !! With respect to other advanced machine learning approaches, such as artificial neural networks, random forests, or genetic programming, learning classifier systems are particularly well suited to problems that require interpretable solutions. !! In artificial intelligence, genetic programming (GP) is a technique of evolving programs, starting from a population of unfit (usually random) programs, fit for a particular task by applying operations analogous to natural genetic processes to the population of programs. !! Although the idea of evolving programs, initially in the computer language Lisp, was current amongst John Hollands students, it was not until they organised the first Genetic Algorithms (GA) conference in Pittsburgh that Nichael Cramer published evolved programs in two specially designed languages, which included the first statement of modern ""tree-based"" Genetic Programming (that is, procedural languages organized in tree-based structures and operated on by suitably defined GA-operators). !! In 2010, Koza listed 77 results where Genetic Programming was human competitive."
natural genetic processes,"In artificial intelligence, genetic programming (GP) is a technique of evolving programs, starting from a population of unfit (usually random) programs, fit for a particular task by applying operations analogous to natural genetic processes to the population of programs."
minimum weight spanning tree,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected, edge-weighted undirected graph that connects all the vertices together, without any cycles and with the minimum possible total edge weight."
weighted undirected graph,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected, edge-weighted undirected graph that connects all the vertices together, without any cycles and with the minimum possible total edge weight. !! In computer science, Prim's algorithm (also known as Jarnk's algorithm) is a greedy algorithm that finds a minimum spanning tree for a weighted undirected graph. !! More generally, any edge-weighted undirected graph (not necessarily connected) has a minimum spanning forest, which is a union of the minimum spanning trees for its connected components."
minimum spanning trees,"There are many use cases for minimum spanning trees. !! More generally, any edge-weighted undirected graph (not necessarily connected) has a minimum spanning forest, which is a union of the minimum spanning trees for its connected components."
edge weights,"There may be several minimum spanning trees of the same weight; in particular, if all the edge weights of a given graph are the same, then every spanning tree of that graph is minimum."
artificial intelligence of things,"The Artificial Intelligence of Things (AIoT) is the combination of Artificial intelligence (AI) technologies with the Internet of things (IoT) infrastructure to achieve more efficient IoT operations, improve human-machine interactions and enhance data management and analytics."
probabilistic approach,"Enterprise cognitive systems (ECS) are part of a broader shift in computing, from a programmatic to a probabilistic approach, called cognitive computing."
enterprise cognitive systems,"Enterprise cognitive systems (ECS) are part of a broader shift in computing, from a programmatic to a probabilistic approach, called cognitive computing."
depth-first search,"Depth-first search (DFS) is an algorithm for traversing or searching tree or graph data structures. !! The result of a depth-first search of a graph can be conveniently described in terms of a spanning tree of the vertices reached during the search. !! Note that some algorithms (such as post-order depth-first search) begin at the root, but first visit leaf nodes (access the value of leaf nodes), only to visit the root last (i. e. , they first access the children of the root, but only access the value of the root last). !! Standard examples of single recursion include list traversal, such as in a linear search, or computing the factorial function, while standard examples of multiple recursion include tree traversal, such as in a depth-first search. !! When an appropriate depth limit is not known a priori, iterative deepening depth-first search applies DFS repeatedly with a sequence of increasing limits. !! a depth-first search starting at the node A, assuming that the left edges in the shown graph are chosen before right edges, and assuming the search remembers previously visited nodes and will not repeat them (since this is a small graph), will visit the nodes in the following order: A, B, D, F, E, C, G. The edges traversed in this search form a Trmaux tree, a structure with important applications in graph theory. !! A version of depth-first search was investigated in the 19th century by French mathematician Charles Pierre Trmaux as a strategy for solving mazes."
searching tree,Depth-first search (DFS) is an algorithm for traversing or searching tree or graph data structures.
graph data structures,Depth-first search (DFS) is an algorithm for traversing or searching tree or graph data structures.
dynamic analysis,"Static program analysis is the analysis of computer software performed without executing any programs, in contrast with dynamic analysis, which is performed on programs during their execution."
static program analysis,"Static program analysis is the analysis of computer software performed without executing any programs, in contrast with dynamic analysis, which is performed on programs during their execution. !! Program analysis can be performed without executing the program (static program analysis), during runtime (dynamic program analysis) or in a combination of both."
vandermonde polynomial,"Its square is widely called the discriminant, though some sources call the Vandermonde polynomial itself the discriminant. !! Thus, the Vandermonde polynomial (together with the symmetric polynomials) generates the alternating polynomials."
alternating polynomials,"Thus, the Vandermonde polynomial (together with the symmetric polynomials) generates the alternating polynomials."
recommender systems,"GroupLens Research is a humancomputer interaction research lab in the Department of Computer Science and Engineering at the University of Minnesota, Twin Cities specializing in recommender systems and online communities."
computer architecture research,Microarchitecture simulation is an important technique in computer architecture research and computer science education.
microarchitecture simulation,Microarchitecture simulation is an important technique in computer architecture research and computer science education. !! Microarchitecture simulation can be classified into multiple categories according to input types and level of details.
computer science education,Microarchitecture simulation is an important technique in computer architecture research and computer science education.
communication systems,"This makes computational electromagnetics (CEM) important to the design, and modeling of antenna, radar, satellite and other communication systems, nanophotonic devices and high speed silicon electronics, medical imaging, cell-phone antenna design, among other applications."
internet indexing services,Data structures provide a means to manage large amounts of data efficiently for uses such as large databases and internet indexing services.
efficient data structures,"Usually, efficient data structures are key to designing efficient algorithms."
formal design methods,"Some formal design methods and programming languages emphasize data structures, rather than algorithms, as the key organizing factor in software design."
unrestricted algorithm,An unrestricted algorithm is an algorithm for the computation of a mathematical function that puts no restrictions on the range of the argument or on the precision that may be demanded in the result. !! An unrestricted algorithm envisages a situation in which a user may stipulate the value of x and also the precision required in g(x) quite arbitrarily.
vehicle routing problem,"Vehicle Routing Problem with Pickup and Delivery (VRPPD): A number of goods need to be moved from certain pickup locations to other delivery locations. !! Vehicle Routing Problem with Profits (VRPP): A maximization problem where it is not mandatory to visit all customers. !! Vehicle Routing Problem with LIFO: Similar to the VRPPD, except an additional restriction is placed on the loading of the vehicles: at any delivery location, the item being delivered must be the item most recently picked up. !! Vehicle Routing Problem with Time Windows (VRPTW): The delivery locations have time windows within which the deliveries (or visits) must be made. !! The vehicle routing problem (VRP) is a combinatorial optimization and integer programming problem which asks ""What is the optimal set of routes for a fleet of vehicles to traverse in order to deliver to a given set of customers""."
maximization problem,Vehicle Routing Problem with Profits (VRPP): A maximization problem where it is not mandatory to visit all customers.
abelian sandpile model,"Dhar showed that all such addition operators form an abelian group, hence the name Abelian sandpile model. !! The Abelian sandpile model (ASM) is the more popular name of the original BakTangWiesenfeld model (BTW). !! The computer game Hexplode is based around the Abelian sandpile model on a finite hexagonal grid where instead of random grain placement, grains are placed by players. !! Three years later Deepak Dhar invented that the BTW sandpile model indeed follows the abelian dynamics and therefore referred to this model as the Abelian sandpile model."
hierarchical markov models,Two kinds of Hierarchical Markov Models are the Hierarchical hidden Markov model and the Abstract Hidden Markov Model. !! Hierarchical Markov models can be applied to categorize human behavior at various levels of abstraction.
abstract hidden markov model,Two kinds of Hierarchical Markov Models are the Hierarchical hidden Markov model and the Abstract Hidden Markov Model.
hierarchical hidden markov model,Two kinds of Hierarchical Markov Models are the Hierarchical hidden Markov model and the Abstract Hidden Markov Model.
merge-insertion sort,"In computer science, merge-insertion sort or the FordJohnson algorithm is a comparison sorting algorithm published in 1959 by L. R. Ford Jr. and Selmer M. Johnson. !! Merge-insertion sort also performs fewer comparisons than the sorting numbers, which count the comparisons made by binary insertion sort or merge sort in the worst case. !! For 20 years, merge-insertion sort was the sorting algorithm with the fewest comparisons known for all input lengths. !! and later record-breaking sorting algorithms have all used modifications of the merge-insertion sort ideas."
fordjohnson algorithm,"In computer science, merge-insertion sort or the FordJohnson algorithm is a comparison sorting algorithm published in 1959 by L. R. Ford Jr. and Selmer M. Johnson."
merge sort,"The outer loop of block sort is identical to a bottom-up merge sort, where each level of the sort merges pairs of subarrays, A and B, in sizes of 1, then 2, then 4, 8, 16, and so on, until both subarrays combined are the array itself. !! After repeating these steps for every level of the bottom-up merge sort, the block sort is completed. !! Merge-insertion sort also performs fewer comparisons than the sorting numbers, which count the comparisons made by binary insertion sort or merge sort in the worst case. !! As previously stated, the outer loop of a block sort is identical to a bottom-up merge sort."
sorting numbers,"Merge-insertion sort also performs fewer comparisons than the sorting numbers, which count the comparisons made by binary insertion sort or merge sort in the worst case."
binary insertion sort,"Merge-insertion sort also performs fewer comparisons than the sorting numbers, which count the comparisons made by binary insertion sort or merge sort in the worst case."
fuzzy logic,"Fuzzy logic has been applied to many fields, from control theory to artificial intelligence. !! Fuzzy logic had, however, been studied since the 1920s, as infinite-valued logicnotably by ukasiewicz and Tarski. !! The term fuzzy logic was introduced with the 1965 proposal of fuzzy set theory by scientist Lotfi Zadeh. !! Intelligent control is a class of control techniques that use various artificial intelligence computing approaches like neural networks, Bayesian probability, fuzzy logic, machine learning, reinforcement learning, evolutionary computation and genetic algorithms. !! Fuzzy logic is a form of many-valued logic in which the truth value of variables may be any real number between 0 and 1. !! Fuzzy logic is based on the observation that people make decisions based on imprecise and non-numerical information."
bayesian probability,"Intelligent control is a class of control techniques that use various artificial intelligence computing approaches like neural networks, Bayesian probability, fuzzy logic, machine learning, reinforcement learning, evolutionary computation and genetic algorithms. !! In the philosophy of decision theory, Bayesian inference is closely related to subjective probability, often called ""Bayesian probability""."
control techniques,"Intelligent control is a class of control techniques that use various artificial intelligence computing approaches like neural networks, Bayesian probability, fuzzy logic, machine learning, reinforcement learning, evolutionary computation and genetic algorithms."
sequential pattern mining,"Sequential pattern mining is a special case of structured data mining. !! Local process models extend sequential pattern mining to more complex patterns that can include (exclusive) choices, loops, and concurrency constructs in addition to the sequential ordering construct. !! Graph mining, sequential pattern mining and molecule mining are special cases of structured data mining. !! Sequential pattern mining is a topic of data mining concerned with finding statistically relevant patterns between data examples where the values are delivered in a sequence."
complex patterns,"Local process models extend sequential pattern mining to more complex patterns that can include (exclusive) choices, loops, and concurrency constructs in addition to the sequential ordering construct."
